what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1439243840129
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1439243840129
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1439243840129
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1439243840129
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1439243840145
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1439243840145
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1439243840145
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1439243840145
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1439243840145
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1439243840145
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1439243840145
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1439243840145
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1439243840171
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1439243840172
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1439243840173
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1439243840178
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1439243840180
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1439243840183
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1439243840183
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1439243840183
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1439243840198
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1439243840198
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1439243840214
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1439243840214
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1439243840214
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1439243840214
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1439243840214
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1439243840214
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1439243840214
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1439243840214
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1439243840214
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1439243840247
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1439243840248
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1439243840249
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1439243840250
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1439243840251
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1439243840251
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1439243840251
os,sysinfo,,,"win32",1439243840251
arch,sysinfo,,,"x86_64",1439243840251
ws,sysinfo,,,"win32",1439243840251
locale,sysinfo,,,"es_ES",1439243840251
processors,sysinfo,,,"4",1439243840251
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1439243840251
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1439243840251
java.specification.name,sysinfo,,,"Java Platform API Specification",1439243840251
java.specification.vendor,sysinfo,,,"Oracle Corporation",1439243840251
java.specification.version,sysinfo,,,"1.7",1439243840251
java.vendor,sysinfo,,,"Oracle Corporation",1439243840251
java.version,sysinfo,,,"1.7.0_51",1439243840251
java.vm.info,sysinfo,,,"mixed mode",1439243840251
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1439243840251
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1439243840251
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1439243840251
java.vm.specification.version,sysinfo,,,"1.7",1439243840251
java.vm.vendor,sysinfo,,,"Oracle Corporation",1439243840251
java.vm.version,sysinfo,,,"24.51-b03",1439243840251
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1439243951770
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1439243951794
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1439243951810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439244021347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439247376025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439247558509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439247829866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439247831351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439252129433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439252138794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439252145878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439252146301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439252157165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439252157916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439252613155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439252628505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439252638977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439252640167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439255641173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439255643047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439255644765
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439255644937
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1439255645408
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1439255645424
